target,tic_id,sectors
TIC 1628071,1628071,101
TIC 1650025,1650025,101
TIC 5630042,5630042,101
TIC 5647251,5647251,101
TIC 5648410,5648410,101
TIC 5649509,5649509,101
TIC 5714469,5714469,101
TIC 5797560,5797560,101
TIC 5816844,5816844,101
TIC 5867325,5867325,101
TIC 5868840,5868840,101
TIC 5868998,5868998,101
TIC 5869755,5869755,101
TIC 5870216,5870216,101
TIC 5877537,5877537,101
TIC 5878609,5878609,101
TIC 5881491,5881491,101
TIC 5911169,5911169,101
TIC 5911256,5911256,101
TIC 5914116,5914116,101
TIC 5915129,5915129,101
TIC 5915144,5915144,101
TIC 5966772,5966772,101
TIC 5966788,5966788,101
TIC 5970086,5970086,101
TIC 5982485,5982485,101
TIC 5984440,5984440,101
TIC 5985469,5985469,101
TIC 6012158,6012158,101
TIC 9277748,9277748,101
TIC 9279365,9279365,101
TIC 9331851,9331851,101
TIC 9334938,9334938,101
TIC 9337741,9337741,101
TIC 9339369,9339369,101
TIC 9384703,9384703,101
TIC 9385460,9385460,101
TIC 9389532,9389532,101
TIC 9436181,9436181,101
TIC 9436243,9436243,101
TIC 9438270,9438270,101
TIC 9439284,9439284,101
TIC 9439286,9439286,101
TIC 9439380,9439380,101
TIC 9467408,9467408,101
TIC 9469264,9469264,101
TIC 9481811,9481811,101
TIC 9560142,9560142,101
TIC 9560564,9560564,101
TIC 9560567,9560567,101
TIC 9560965,9560965,101
TIC 9561716,9561716,101
TIC 9565470,9565470,101
TIC 9591460,9591460,101
TIC 21008903,21008903,101
TIC 22140831,22140831,101
TIC 22330361,22330361,101
TIC 22330922,22330922,101
TIC 22331205,22331205,101
TIC 22344190,22344190,101
TIC 22384225,22384225,101
TIC 22394173,22394173,101
TIC 22394712,22394712,101
TIC 22395174,22395174,101
TIC 22395594,22395594,101
TIC 22442522,22442522,101
TIC 22443063,22443063,101
TIC 22444513,22444513,101
TIC 22457223,22457223,101
TIC 22457387,22457387,101
TIC 22457824,22457824,101
TIC 22457828,22457828,101
TIC 22480430,22480430,101
TIC 22651697,22651697,101
TIC 22855930,22855930,101
TIC 25425217,25425217,101
TIC 25484487,25484487,101
TIC 25485058,25485058,101
TIC 25488580,25488580,101
TIC 25489613,25489613,101
TIC 27966954,27966954,101
TIC 30019744,30019744,101
TIC 30022867,30022867,101
TIC 30023898,30023898,101
TIC 30071355,30071355,101
TIC 30072900,30072900,101
TIC 30073345,30073345,101
TIC 30116867,30116867,101
TIC 30116886,30116886,101
TIC 30119120,30119120,101
TIC 30119875,30119875,101
TIC 30180071,30180071,101
TIC 30181300,30181300,101
TIC 30280604,30280604,101
TIC 30281683,30281683,101
TIC 30290773,30290773,101
TIC 30293512,30293512,101
TIC 30373490,30373490,101
TIC 30374981,30374981,101
TIC 30375100,30375100,101
TIC 30378697,30378697,101
TIC 30380653,30380653,101
TIC 30385924,30385924,101
TIC 30392474,30392474,101
TIC 30441887,30441887,101
TIC 30442175,30442175,101
TIC 30489588,30489588,101
TIC 30490789,30490789,101
TIC 30492356,30492356,101
TIC 30494130,30494130,101
TIC 30540538,30540538,101
TIC 30545382,30545382,101
TIC 30601456,30601456,101
TIC 30697060,30697060,101
TIC 30751305,30751305,101
TIC 30752217,30752217,101
TIC 30753143,30753143,101
TIC 30755602,30755602,101
TIC 30802397,30802397,101
TIC 30805042,30805042,101
TIC 30809039,30809039,101
TIC 30841635,30841635,101
TIC 30872191,30872191,101
TIC 30874463,30874463,101
TIC 30875397,30875397,101
TIC 30876081,30876081,101
TIC 30952620,30952620,101
TIC 30952621,30952621,101
TIC 30953375,30953375,101
TIC 30988774,30988774,101
TIC 30989857,30989857,101
TIC 30990555,30990555,101
TIC 30992795,30992795,101
TIC 32609205,32609205,101
TIC 32613546,32613546,101
TIC 32638161,32638161,101
TIC 32658752,32658752,101
TIC 32722714,32722714,101
TIC 36864008,36864008,101
TIC 38580218,38580218,101
TIC 38580997,38580997,101
TIC 38581295,38581295,101
TIC 38581831,38581831,101
TIC 38638193,38638193,101
TIC 39408757,39408757,101
TIC 40560248,40560248,101
TIC 52254854,52254854,101
TIC 52254858,52254858,101
TIC 57306425,57306425,101
TIC 57348820,57348820,101
TIC 57367859,57367859,101
TIC 57574224,57574224,101
TIC 57693006,57693006,101
TIC 57790484,57790484,101
TIC 60709182,60709182,101
TIC 60734281,60734281,101
TIC 60734330,60734330,101
TIC 61477444,61477444,101
TIC 61536029,61536029,101
TIC 65314847,65314847,101
TIC 65716946,65716946,101
TIC 68322226,68322226,101
TIC 71379213,71379213,101
TIC 72568304,72568304,101
TIC 72988676,72988676,101
TIC 73405282,73405282,101
TIC 73710356,73710356,101
TIC 73710370,73710370,101
TIC 77529668,77529668,101
TIC 77530888,77530888,101
TIC 77556322,77556322,101
TIC 77556406,77556406,101
TIC 82437857,82437857,101
TIC 82442489,82442489,101
TIC 83112462,83112462,101
TIC 83113208,83113208,101
TIC 83113252,83113252,101
TIC 83113607,83113607,101
TIC 83133871,83133871,101
TIC 83136506,83136506,101
TIC 83152944,83152944,101
TIC 83153075,83153075,101
TIC 83154030,83154030,101
TIC 83207850,83207850,101
TIC 93847832,93847832,101
TIC 97744411,97744411,101
